u,v,key,osmid,highway,lanes,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,name,width,junction,access
25587538,25587536,0,"[29123163, 1023578420, 1023578421]",tertiary,5,50,False,False,60.91014567841839,"LINESTRING (11.9730896 57.7028383, 11.9732158 57.7027761, 11.9732605 57.7027526, 11.9733369 57.702712, 11.9734674 57.7026428, 11.9735454 57.7026014, 11.9736269 57.7025581, 11.9738215 57.7024548)",,,,Södra Vägen,,,
25587538,135708894,0,201106670,secondary,3,50,True,False,71.57447117418319,"LINESTRING (11.9730896 57.7028383, 11.9728962 57.702755, 11.9725358 57.7025997, 11.9723249 57.7025084, 11.9722265 57.7024658, 11.9721528 57.7024336)",,,,Nya Allén,,,
25599361,7373677,0,4265183,living_street,,,False,False,29.702806600025003,"LINESTRING (11.9719979 57.7043793, 11.9720546 57.7041139)",,,,Bastionsplatsen,9.75,,
25599361,1939789331,0,4265183,living_street,,,False,True,31.759542796040208,"LINESTRING (11.9719979 57.7043793, 11.9725275 57.7044182)",,,,Bastionsplatsen,9.75,,
25599361,377706,0,4265182,living_street,,,False,True,87.36431803849902,"LINESTRING (11.9719979 57.7043793, 11.9710227 57.7048377, 11.970909 57.7049064)",,,,Trädgårdsgatan,8.2,,
25599366,5798339139,0,"[158620067, 1122584199]",unclassified,,,False,True,29.329705920343972,"LINESTRING (11.969375 57.7033585, 11.9693212 57.7032665, 11.9692922 57.7032243, 11.9692242 57.7031376, 11.9692115 57.70311)",,,,Basargatan,,,
25599366,135705006,0,"[1364747782, 29103273, 29105911, 1133758262, 29108087, 168286106, 168286107, 1131598813]","['residential', 'unclassified']",,50,True,False,254.67062829076144,"LINESTRING (11.969375 57.7033585, 11.9694729 57.7034946, 11.9695281 57.7035616, 11.9696082 57.7036357, 11.9696691 57.7036661, 11.9697168 57.7036899, 11.9697864 57.7037128, 11.9698283 57.703725, 11.9699021 57.7037335, 11.9699651 57.7037363, 11.9700167 57.7037387, 11.9700839 57.7036952, 11.9701867 57.7036289, 11.9704315 57.7034576, 11.9705123 57.703386, 11.9705684 57.7033424, 11.9706074 57.7033183, 11.9707065 57.703266, 11.971477 57.7027152, 11.9718096 57.702477, 11.9718504 57.7024478, 11.9719843 57.70236)",,,yes,"['Basargatan', 'Kungsportsbron', 'Kungsportsavenyen']",5.5,,
25599376,25599383,0,"[975039432, 4275973]",unclassified,,,False,True,79.18136044872051,"LINESTRING (11.9661904 57.7025586, 11.9661142 57.7025898, 11.9659813 57.7026934, 11.9658861 57.702804, 11.9658572 57.7028315, 11.9655594 57.7031787)",,,,"['Lilla Korsgatan', 'Grönsakstorget']",,,
25599376,314759122,0,"[975039433, 4265185]",unclassified,,,False,True,63.9352561879453,"LINESTRING (11.9661904 57.7025586, 11.9658546 57.7023392, 11.9656939 57.7022417, 11.9655886 57.7021853, 11.9655537 57.7021699, 11.9655222 57.702155, 11.9654761 57.7021297)",,,,Grönsakstorget,7,,
25599376,265785599,0,1122584198,unclassified,,,False,False,79.91864499419819,"LINESTRING (11.9661904 57.7025586, 11.9662544 57.7025873, 11.9663269 57.7026005, 11.9668619 57.7025808, 11.9671214 57.7025662, 11.9673226 57.7025844, 11.9674436 57.7026014, 11.9675016 57.7026059)",,,,Basargatan,,,
