num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed
500,5,2,500,500,1.0,91.964,91.0,47.49490747935978,12.950916067627984,13.035212974561604,0.6242575243692763
500,10,0,500,500,1.0,98.67,97.0,51.50626068527552,12.914876880778303,13.022238273971132,0.630918561115747
500,10,1,500,500,1.0,93.098,88.0,52.82269275358346,12.939467540034112,12.993517646799678,0.5551162041373287
500,10,2,500,500,1.0,92.278,90.5,47.453180342831594,12.937184927269715,13.0359290258641,0.6233605478102994
500,20,0,500,500,1.0,98.788,97.5,51.43261303265403,12.913276637432045,13.013975867683751,0.6256514514147824
500,20,1,500,500,1.0,93.246,88.0,52.8448544447098,12.927926047093358,13.005192154652654,0.5906647330798986
500,20,2,500,500,1.0,92.696,92.0,47.98375209307688,12.959222582105301,13.046512226304706,0.5951159238109085
500,50,0,500,500,1.0,104.15,103.0,55.46281409642852,12.922569605051349,13.030648188161507,0.599057654486463
500,50,1,500,500,1.0,96.148,90.0,54.583631627836624,12.941745103718352,13.004523787816344,0.5438432785064768
500,50,2,500,500,1.0,96.138,94.5,50.52417580407782,12.982798005810853,13.088665937567704,0.6145641531231533
500,100,0,500,500,1.0,103.95,102.0,54.92614370702762,12.92800876046781,13.0265225016962,0.5995381150522306
500,100,1,500,500,1.0,96.634,91.0,54.93899006405667,12.9136802972765,12.96744483565503,0.5529180358562593
500,100,2,500,500,1.0,96.11,94.0,50.057781242538624,12.948353478284043,13.037702215845915,0.6007930170344405
500,200,0,500,500,1.0,99.724,97.0,52.26700204723829,12.905925511801241,12.984617743218195,0.6415781962153767
500,200,1,500,500,1.0,97.896,94.5,55.13424302107551,12.954453331234799,13.006818712390725,0.5009458914381354
500,200,2,500,500,1.0,96.7,95.5,50.74489223731146,13.01668348766697,13.101725412589817,0.5926892235269735
500,500,0,500,500,1.0,97.51,95.0,50.54407291278797,12.91552624531765,13.014618355689201,0.6053406583370412
500,500,1,500,500,1.0,92.892,88.0,52.29679000176758,12.9528662120799,13.025557640111018,0.525147556774023
500,500,2,500,500,1.0,92.734,92.5,47.99389619674869,12.979400789488855,13.03845769532451,0.5840605721377834
1000,0,0,1000,1000,1.0,98.472,94.5,51.12638382599656,12.507407605748366,12.546831471125508,0.6535185726686136
1000,0,1,1000,1000,1.0,97.961,92.0,54.54686828627139,12.536589134643968,12.535194663456107,0.5907899415003297
1000,0,2,1000,1000,1.0,96.332,94.0,50.22132971116912,12.552521545920829,12.600197692575435,0.6463362381893761
1000,5,0,1000,1000,1.0,98.731,95.0,51.19419385520671,12.510295741736451,12.517083676425418,0.6365000637691279
1000,5,1,1000,1000,1.0,98.118,93.0,54.38529062012849,12.515890352559344,12.532142061779169,0.631099143332822
1000,5,2,1000,1000,1.0,96.272,93.0,50.212401867479926,12.561653726733127,12.598254139274799,0.6150372656745383
1000,10,0,1000,1000,1.0,102.223,98.0,55.041319186751124,12.515838565746078,12.543759694555884,0.6525327758168596
1000,10,1,1000,1000,1.0,98.359,93.0,54.53474266151035,12.51621606644831,12.525542838550919,0.6190560047735438
1000,10,2,1000,1000,1.0,96.62,94.0,50.1673036783756,12.571277590001397,12.606504502873708,0.6009784136578863
1000,20,0,1000,1000,1.0,102.355,98.0,55.0674804435649,12.521831455096333,12.551428449180115,0.6486915766934235
1000,20,1,1000,1000,1.0,100.056,94.0,56.38340138686165,12.512011139372753,12.539995117715407,0.6267223881193462
1000,20,2,1000,1000,1.0,97.002,95.5,50.18803477757258,12.562828822230838,12.600497023036858,0.6168857634488744
1000,50,0,1000,1000,1.0,104.992,100.5,56.35121467542111,12.537495694040112,12.549512252698683,0.636296594489842
